time,Absorbance_308
8.71E-05,9.62E-04
0.000129637,0.000940303
0.000155046,0.000918169
0.000184623,0.000885991
0.000205696,0.000857852
0.000222389,0.000819686
0.000239209,0.000793598
0.000264618,0.000771546
0.000294237,0.000743495
0.000319667,0.000723474
0.000349308,0.000697459
0.000383243,0.000673465
0.0003872,0.000643463
0.000408377,0.000625487
0.000429492,0.000601527
0.000459238,0.000585574
0.00048471,0.000569623
0.000501657,0.000555668
0.000544139,0.000531767
0.000573864,0.000513848
0.000595084,0.000499916
0.000629082,0.000482015
0.000650302,0.000468094
0.000688574,0.000450211
0.000709836,0.000440279
0.000743813,0.000420417
0.000765097,0.00041248
0.000811916,0.000394629
0.000833178,0.000384711
0.000862945,0.000370831
0.000909785,0.000354983
0.000948141,0.000345089
0.000990729,0.000331232
0.001033296,0.000315397
0.001071631,0.00030353
0.001118492,0.000289691
0.001161122,0.000279817
0.001195226,0.000271919
0.001259118,0.000252164
0.001318758,0.000234394
0.001357135,0.000226509
0.00142109,0.00021271
0.001450942,0.0002068
0.001497845,0.000196949
0.001549064,0.000191058
0.00160881,0.000183198
0.001668555,0.000175339
0.001745352,0.000163544
0.001809349,0.000153718
0.001856295,0.000147829
0.001920314,0.000139981
0.001958712,0.000134088
0.002031278,0.00012625
0.002073971,0.000122336
0.002099591,0.000120383
0.002150811,0.000114503
0.002197777,0.000110594
0.002236197,0.000106678
0.002308784,0.000100817
0.002360024,9.69127E-05
0.002415538,9.30119E-05
0.002475346,9.1087E-05
0.002539407,8.71936E-05
0.002586353,8.13153E-05
0.002654666,7.54548E-05
0.002714496,7.5502E-05
0.002752958,7.55323E-05
0.00281704,7.36116E-05
0.00285548,7.16707E-05
0.002910973,6.58015E-05
