Time,H2O
0.22085889570552147, 0.0004166666666666659
0.26380368098159507, 0.0006666666666666661
0.3006134969325153, 0.0007500000000000007
0.3650306748466257, 0.0008333333333333318
0.4294478527607362, 0.0008333333333333318
0.52760736196319, 0.0011666666666666665
0.6226993865030674, 0.0012500000000000011
0.7269938650306746, 0.0015833333333333324
0.8496932515337423, 0.002083333333333333
0.9447852760736195, 0.0022499999999999985
1.039877300613497, 0.002749999999999999
1.156441717791411, 0.0036666666666666653
1.2730061349693251, 0.003999999999999997
1.371165644171779, 0.004499999999999997
1.4815950920245398, 0.005500000000000001
1.5920245398773005, 0.0061666666666666675
1.684049079754601, 0.006833333333333334
1.8098159509202452, 0.007833333333333331
1.8987730061349692, 0.009083333333333332
