H + NO2 <=> NO + OH,195.6918199,10,1,9.65689E+13,0.693,0.40824829,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
H + NO2 <=> NO + OH,194.2369725,10,1,7.45155E+13,0.693,0.40824829,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
H + NO2 <=> NO + OH,298.7534912,10,1,8.92471E+13,0.693,0.40824829,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
H + NO2 <=> NO + OH,299.9265279,10,1,9.54064E+13,0.693,0.40824829,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
H + NO2 <=> NO + OH,367.0397303,10,1,1.00591E+14,0.693,0.40824829,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
H + NO2 <=> NO + OH,368.8820673,10,1,8.44988E+13,0.693,0.40824829,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
,,,,,,,,"Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823. "
,,,,,,,,
H + NO2 <=> NO + OH,231.4676798,10,1,7.43274E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,231.5310872,10,1,7.79035E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,231.5487004,10,1,7.88969E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,230.7067911,10,1,9.14132E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,262.6112775,10,1,9.08263E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,262.6112775,10,1,9.08263E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,264.5240671,10,1,7.87076E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
H + NO2 <=> NO + OH,263.4144378,10,1,7.61245E+13,0.693,0.25,,"""Michael, J. V.; Nava, D. F.; Payne, W. A.; Lee, J. H.; Stief, L. J. Rate constant for the reaction atomic hydrogen + nitrogen dioxide from 195 to 400 K with FP-RF and DF-RF techniques. J. Phys. Chem. 1979, 83 (22), 2818−2823."" "
